date_received,product,sub_product,issue,channel,company_response,timely_response,consumer_disputed,complaint_id,client_id
7/3/2014,Bank account or service,Checking account,Deposits and withdrawals,Email,Closed with explanation,Yes,No,CR0922485,C00003989
4/12/2012,Bank account or service,Savings account,"Account opening, closing, or management",Phone Support,Closed with relief,Yes,No,CR0057298,C00006567
4/3/2012,Bank account or service,Checking account,"Account opening, closing, or management",Branch,Closed without relief,Yes,No,CR0043811,C00001369
3/14/2012,Credit card,,Billing disputes,Mobile App,Closed with relief,Yes,No,CR0035411,C00006474
3/5/2012,Bank account or service,Checking account,"Account opening, closing, or management",Branch,Closed with relief,Yes,No,CR0030939,C00003721
3/5/2012,Bank account or service,Checking account,Problems caused by my funds being low,Email,Closed with relief,Yes,No,CR0030070,C00004542
2/23/2012,Credit card,,Other fee,Branch,Closed without relief,Yes,No,CR0013328,C00000945
12/7/2011,Credit card,,Collection debt dispute,Phone Support,Closed without relief,Yes,No,CR0003732,C00003641
3/27/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Phone Support,Closed with explanation,Yes,,CR2405000,C00009715
3/21/2017,Credit card,,Other,Phone Support,Closed with non-monetary relief,Yes,,CR2398334,C00003672
3/20/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,In progress,Yes,,CR2395319,C00001539
3/7/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Mobile App,Closed with explanation,Yes,,CR2375209,C00001947
3/3/2017,Bank account or service,Checking account,"Account opening, closing, or management",Email,Closed with monetary relief,Yes,,CR2371479,C00004029
3/2/2017,Credit card,,Identity theft / Fraud / Embezzlement,Phone Support,Closed with explanation,Yes,,CR2368953,C00004796
2/21/2017,Bank account or service,Savings account,Deposits and withdrawals,Phone Support,Closed with monetary relief,Yes,,CR2353277,C00003142
2/16/2017,Credit card,,Identity theft / Fraud / Embezzlement,Phone Support,Closed with explanation,Yes,,CR2347888,C00000778
2/3/2017,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,Branch,Closed with explanation,Yes,,CR2327253,C00001896
1/31/2017,Credit card,,Other,Branch,Closed with explanation,Yes,,CR2319065,C00003455
1/30/2017,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Mobile App,Closed with explanation,Yes,,CR2318000,C00003971
1/9/2017,Credit card,,Other,Branch,Closed with explanation,Yes,Yes,CR2281296,C00000265
12/19/2016,Credit card,,Credit line increase/decrease,Mobile App,Closed with explanation,Yes,Yes,CR2254957,C00000744
12/8/2016,Credit card,,Billing disputes,Phone Support,Closed with explanation,Yes,No,CR2241469,C00001355
12/8/2016,Credit card,,Billing disputes,Branch,Closed with explanation,Yes,Yes,CR2241293,C00001512
12/7/2016,Bank account or service,Checking account,"Making/receiving payments, sending money",Mobile App,Closed with monetary relief,Yes,No,CR2239563,C00002929
12/1/2016,Credit card,,Late fee,Branch,Closed with monetary relief,Yes,No,CR2230679,C00009366
11/28/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,No,CR2225814,C00001054
11/17/2016,Bank account or service,Checking account,Deposits and withdrawals,Phone Support,Closed with monetary relief,Yes,No,CR2214250,C00004192
11/16/2016,Bank account or service,Checking account,Deposits and withdrawals,Phone Support,Closed with explanation,Yes,No,CR2208613,C00001054
11/8/2016,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR2200226,C00003088
11/4/2016,Credit card,,Sale of account,Mobile App,Closed with explanation,Yes,No,CR2195804,C00005201
11/2/2016,Credit card,,Identity theft / Fraud / Embezzlement,Branch,Closed with monetary relief,Yes,No,CR2192368,C00000565
11/2/2016,Credit card,,Identity theft / Fraud / Embezzlement,Email,Closed with monetary relief,Yes,No,CR2190357,C00000065
10/28/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,Closed with non-monetary relief,Yes,No,CR2184843,C00001170
10/6/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,No,CR2150336,C00003931
10/5/2016,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR2147799,C00004668
10/4/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,Yes,CR2146555,C00004383
9/30/2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Email,Closed with monetary relief,Yes,No,CR2140531,C00003151
9/26/2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Phone Support,Closed with monetary relief,Yes,No,CR2132541,C00002610
9/23/2016,Bank account or service,Checking account,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,Yes,CR2128698,C00007855
9/22/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR2125933,C00002350
9/12/2016,Credit card,,Balance transfer fee,Mobile App,Closed with non-monetary relief,Yes,No,CR2106749,C00005736
8/31/2016,Credit card,,Billing disputes,Branch,Closed with explanation,Yes,No,CR2089516,C00002452
